Date	Home	From_Solar	From_Grid	To_Grid	From_Battery	To_Battery	Temp_Avg	Irradiance	Occupied
01/09/2024	19	2.4	11.4	0	11.7	0	12.9	365.9	1
02/09/2024	11.3	1.2	17.3	0	5.2	0	13.4	335.4	0
03/09/2024	13.9	6.4	10.5	0	7.1	0	9.9	1346.8	0
04/09/2024	16.2	6.8	7.4	0	9.3	0	9.5	1722.5	0
05/09/2024	18	11	11.5	0.1	9.1	0	14.5	1681.8	1
06/09/2024	16	14.7	0.4	1	11	0	16.6	1489.4	1
07/09/2024	12.2	14.2	7.9	7.5	7.7	0	16.6	1437	0
08/09/2024	10.5	11.1	5.7	4.6	6.8	0	16.1	1308.4	0
09/09/2024	18.5	6.4	7.2	0	11.2	0	10.7	1118.9	1
10/09/2024	16.6	14.6	10.3	0	6.8	0	10.1	1608.3	1
11/09/2024	21.9	14.5	6.7	0	11	0	9.2	1789.6	1
12/09/2024	22.2	11.9	10.5	0	12.5	0	7.5	1693.9	1
13/09/2024	17.2	9.9	12.6	0	8.9	0	7.7	1531.3	0
14/09/2024	13.1	2	9.7	0	5.8	0	12.7	413.3	0
15/09/2024	12.4	8.1	8	0	6.3	0	11.5	1304.2	0
16/09/2024	13.8	11.8	5.8	2.6	7	0	10.8	1478.3	0
17/09/2024	7.9	8.8	2.4	2.5	4.4	0	14.6	1144.5	0
18/09/2024	8.8	13.1	2.6	6.2	5	0	14.6	1216.1	0
19/09/2024	9.6	13.7	0.2	4.6	6.6	0	11.1	1219.7	0
20/09/2024	19.8	4.8	8.4	0	9.4	0	10.7	915.5	1
21/09/2024	14.1	8.3	12.7	0	6.8	0	12.7	1188.6	1
22/09/2024	24.1	3.6	16	0	12	0	11.1	430.6	1
23/09/2024	15.8	2.2	15.4	0	10.2	0	9.4	316.5	0
24/09/2024	23.3	8.5	17.1	0	13.2	0	9.1	1138.1	1
25/09/2024	18.5	11	15	0	9.9	0	6	1215	0
26/09/2024	21.6	6.8	9	0	12.7	0	9	877.7	0
27/09/2024	23.7	9.6	15.9	0	11.7	0	7.6	1208.9	1
28/09/2024	23.8	4.5	20.3	0	11.3	0	6.6	626.3	1
29/09/2024	24	7.1	18.3	0	11.1	0	9	926	1
30/09/2024	17.9	1.4	19.3	0	8.7	0	10	268.7	0
